,battingPoints,bowlingPoints,fieldingPoints,matchId,playerId,playerName,playerTeam,secondInningBattingPoints,secondInningBowlingPoints,secondInningFieldingPoints
392,1,39,0,7911,203,sunil-narine,kkr,0,39,0
393,104,0,0,7911,236,chris-gayle,kxp,104,0,0
394,0,-14,0,7911,261,kuldeep-yadav,kkr,0,-14,0
395,0,0,30,7911,276,karun-nair,kxp,0,0,0
396,0,-4,20,7911,1106,ankit-rajpoot,kxp,0,0,0
397,99,0,10,7911,1125,lokesh-rahul,kxp,99,0,0
398,0,69,10,7911,1480,andrew-tye,kxp,0,0,0
399,3,1,0,7911,2738,nitish-rana,kkr,0,1,0
400,0,42,0,7911,2746,barinder-sran,kxp,0,0,0
401,1,0,10,7911,3646,tom-curran,kkr,0,0,10
402,24,0,0,7911,3761,shubman-gill,kkr,0,0,0
403,0,13,0,7911,3779,shivam-mavi,kkr,0,13,0
404,0,39,0,7911,4572,mujeeb-ur-rahman,kxp,0,0,0
405,0,-12,0,7912,57,shahbaz-nadeem,dd,0,-12,0
406,0,41,0,7912,59,umesh-yadav,rcb,0,0,0
407,29,0,0,7912,72,mandeep-singh,rcb,29,0,0
408,3,0,0,7912,84,gautam-gambhir,dd,0,0,0
409,0,70,10,7912,111,yuzvendra-chahal,rcb,0,0,0
410,0,13,0,7912,157,harshal-patel,dd,0,13,0
411,47,0,0,7912,164,virat-kohli,rcb,47,0,0
412,145,0,10,7912,233,ab-de-villiers,rcb,145,0,0
413,4,36,0,7912,282,glenn-maxwell,dd,0,36,0
414,25,0,0,7912,834,quinton-de-kock,rcb,25,0,0
415,0,-3,0,7912,836,chris-morris,dd,0,-3,0
416,0,14,0,7912,967,chris-woakes,rcb,0,0,0
417,22,29,0,7912,968,corey-anderson,rcb,22,0,0
418,0,31,10,7912,969,trent-boult,dd,0,31,10
419,0,0,10,7912,1083,vijay-shankar,dd,0,0,10
420,2,0,0,7912,1085,manan-vohra,rcb,2,0,0
421,88,0,0,7912,1563,shreyas-iyer,dd,0,0,0
422,18,7,0,7912,1749,rahul-tewatia,dd,0,7,0
423,5,0,10,7912,1906,jason-roy,dd,0,0,10
424,139,0,10,7912,2972,rishabh-pant,dd,0,0,10
425,0,36,0,7912,2973,washington-sundar,rcb,0,0,0
426,0,15,20,7912,3840,mohammed-siraj,rcb,0,0,0
427,52,0,0,7913,1,ms-dhoni,csk,0,0,0
428,0,16,20,7913,9,ravindra-jadeja,csk,0,16,20
429,83,0,20,7913,14,suresh-raina,csk,0,0,20
430,5,0,15,7913,16,wriddhiman-saha,sh,5,0,0
431,1,0,0,7913,24,faf-du-plessis,csk,0,0,0
432,0,10,0,7913,25,dwayne-bravo,csk,0,10,0
433,73,0,0,7913,96,yusuf-pathan,sh,73,0,0
434,132,0,0,7913,100,ambati-rayudu,csk,0,0,0
